candidate_id,age,education_level,university_tier,cgpa,internships,projects,programming_languages,certifications,experience_years,hackathons,research_papers,skills_score,hired,soft_skills_score,resume_length_words,company_type
1,27,Bachelors,Tier 2,8.16,2,7,2,2,0.33,0,0,21.0,1,5.62,409,MNC
3,33,Bachelors,Tier 3,7.78,0,2,4,2,0.93,0,0,15.0,1,8.12,435,Startup
4,31,Masters,Tier 3,6.92,2,1,4,1,0.37,0,0,11.5,1,7.19,340,MNC
5,28,Masters,Tier 2,8.24,3,0,1,2,0.33,0,0,5.0,0,4.09,371,Mid-size
6,33,Bachelors,Tier 2,7.24,1,5,1,1,2.87,2,0,15.5,1,4.09,345,Startup
7,25,Bachelors,Tier 2,6.96,1,4,5,0,2.83,0,0,18.0,0,3.41,571,Startup
8,27,Masters,Tier 3,7.09,2,3,1,1,0.11,1,0,10.5,0,9.06,443,MNC
10,23,Bachelors,Tier 2,7.4,0,3,2,5,1.13,0,0,17.5,1,7.96,455,Startup
11,27,Bachelors,Tier 2,5.8,3,3,3,3,0.37,1,0,17.5,1,3.14,386,Startup
13,31,Bachelors,Tier 1,6.51,2,2,3,0,2.39,0,0,10.0,1,8.83,431,MNC
14,28,Bachelors,Tier 3,8.07,2,3,5,1,0.56,0,0,17.5,0,4.49,294,MNC
15,25,Masters,Tier 1,7.28,0,2,5,3,0.58,2,0,20.5,0,4.27,499,Mid-size
17,28,Masters,Tier 3,6.19,0,1,4,0,1.7,0,0,10.0,1,5.13,297,Startup
18,28,Bachelors,Tier 2,8.0,1,4,3,2,0.07,0,0,17.0,1,6.67,308,Mid-size
19,23,Bachelors,Tier 2,6.82,2,5,4,0,1.71,1,0,19.0,1,6.02,386,Mid-size
20,26,Bachelors,Tier 2,7.93,2,1,3,2,0.67,1,0,12.0,1,5.04,633,Startup
24,32,Bachelors,Tier 3,6.93,1,2,3,1,1.13,1,0,12.5,1,5.56,340,Startup
28,32,Bachelors,Tier 2,6.32,2,4,1,2,0.52,0,0,13.0,1,6.6,496,MNC
29,25,Bachelors,Tier 2,7.95,1,3,4,0,3.77,0,0,14.0,1,7.15,635,Startup
30,21,Masters,Tier 1,6.54,2,7,1,1,0.12,0,0,17.5,1,3.33,685,MNC
31,32,Bachelors,Tier 3,8.47,2,2,4,1,0.94,0,0,13.5,0,7.25,436,MNC
33,26,Masters,Tier 3,6.45,0,3,2,0,1.56,1,0,11.0,1,3.46,290,Startup
35,32,Masters,Tier 3,7.25,3,3,3,2,1.21,0,0,15.0,1,9.76,556,Startup
36,29,PhD,Tier 2,8.12,2,3,2,0,0.33,0,0,10.0,1,8.66,535,MNC
37,21,Masters,Tier 1,7.71,0,3,4,1,0.12,0,0,15.5,1,5.13,449,Startup
38,31,Bachelors,Tier 1,7.42,1,4,4,2,1.57,2,0,21.0,1,3.68,577,Startup
39,31,Bachelors,Tier 2,6.76,1,3,5,0,0.71,0,0,16.0,1,7.79,569,Startup
40,30,Bachelors,Tier 2,6.44,1,1,4,0,1.37,0,0,10.0,1,6.08,338,Startup
41,32,Bachelors,Tier 2,7.69,2,6,4,0,1.49,0,0,20.0,1,3.85,474,Startup
